ZIP File,Permissions,File System,Network,Rendering,User Interaction
noihgkapefhabkhlkehoaojjjnloeekk_1.0.zip,"[""activeTab""]",{},{},"{""chrome.windows.create"": 1}",{}
dgllphlhliaopoclngipeejfilfbfnoe_1.0.zip,"[""tabs"", ""storage""]",{},{},"{""document.getElementById"": 9, ""element.innerHTML"": 6, ""document.createElement"": 4, ""document.querySelector"": 3, ""setTimeout"": 1}","{""addEventListener"": 4}"
ahbhggbgcfneaklngkldkbfpchokkoio_1.1.zip,"[""storage"", ""notifications"", ""alarms""]",{},{},"{""document.getElementById"": 24, ""chrome.notifications.create"": 2, ""setInterval"": 1}","{""addEventListener"": 13}"
cicmfpphdicmiaphcmjpcapphlnooglp_7.2.22.zip,"[""unlimitedStorage"", ""storage"", ""alarms"", ""tabs""]","{""localStorage.getItem"": 36, ""localStorage.setItem"": 30, ""new Blob"": 23, ""indexedDB.open"": 7, ""document.cookie"": 4, ""navigator.clipboard.writeText"": 2}","{""fetch"": 50, ""new XMLHttpRequest"": 5, ""navigator.sendBeacon"": 2}","{""setTimeout"": 207, ""document.createElement"": 119, ""document.querySelector"": 101, ""document.getElementById"": 42, ""window.open"": 18, ""new MutationObserver"": 10, ""setInterval"": 10, ""chrome.tabs.create"": 3}","{""addEventListener"": 214, ""chrome.alarms.create"": 4, ""document.onmousemove"": 4}"
mfmecppjdgdjooajmdjdbmnojgopachl_1.0.zip,"[""storage"", ""declarativeNetRequest""]",{},{},"{""document.getElementById"": 15, ""document.querySelector"": 9, ""document.createElement"": 4, ""setTimeout"": 3, ""chrome.tabs.create"": 1}","{""addEventListener"": 12}"
pfffeiaafoehkmfjdnpdmoaikadfgdff_1.3.4.zip,"[""storage"", ""unlimitedStorage"", ""tabs""]","{""new Blob"": 4, ""file.name"": 2, ""localStorage.setItem"": 1}","{""fetch"": 9, ""navigator.sendBeacon"": 3}","{""document.querySelector"": 36, ""document.getElementById"": 32, ""setTimeout"": 26, ""document.createElement"": 13, ""setInterval"": 5, ""window.open"": 2}","{""addEventListener"": 23}"
lioohibbjhbbccpoebbifnphmedfolmi_1.0.zip,[],{},{},{},{}
noglbipnalamijcpdffjihmepadieajn_3.11.0.zip,"[""storage"", ""activeTab"", ""contextMenus""]","{""document.cookie"": 12, ""new Blob"": 10, ""navigator.clipboard.writeText"": 5, ""localStorage.setItem"": 2, ""localStorage.getItem"": 2, ""sessionStorage.setItem"": 1, ""sessionStorage.getItem"": 1}","{""fetch"": 153, ""new XMLHttpRequest"": 6}","{""setTimeout"": 218, ""document.createElement"": 156, ""document.querySelector"": 149, ""window.open"": 81, ""setInterval"": 36, ""new MutationObserver"": 21, ""document.getElementById"": 6, ""canvas.getContext"": 4, ""chrome.tabs.create"": 1}","{""addEventListener"": 348}"
jnkkpdajnglkceobnlcpjkhocnanepgm_1.0.zip,"[""activeTab""]",{},{},"{""document.getElementById"": 5, ""document.querySelector"": 2, ""document.createElement"": 1}","{""addEventListener"": 5}"
oidgiplmcfbadgmofhjicgonldhkbooe_4.3.2.zip,"[""storage"", ""contextMenus""]",{},"{""fetch"": 14}","{""setTimeout"": 19, ""window.open"": 11, ""document.createElement"": 5, ""document.getElementById"": 1, ""setInterval"": 1}","{""addEventListener"": 13}"
hjnmnclenknafhlcflecgogdbmfepaoj_0.0.1.zip,"[""storage"", ""scripting"", ""alarms""]","{""localStorage.getItem"": 1}","{""fetch"": 10}","{""document.createElement"": 10, ""document.querySelector"": 8, ""document.getElementById"": 8, ""setTimeout"": 4, ""chrome.tabs.create"": 1}","{""addEventListener"": 13, ""chrome.alarms.create"": 1}"
nhijjenmheodnledopflkompapngjedl_0.95.zip,[],{},"{""fetch"": 9}","{""document.querySelector"": 1, ""new MutationObserver"": 1}",{}
kibcggfnaabfacjhdemfcabnobmfihlk_1.2.0.zip,"[""tabs"", ""storage""]","{""localStorage.getItem"": 6, ""document.cookie"": 2}","{""fetch"": 18}","{""document.querySelector"": 85, ""document.getElementById"": 81, ""setInterval"": 51, ""setTimeout"": 49, ""document.createElement"": 24, ""element.style"": 13, ""window.open"": 8, ""chrome.tabs.create"": 2, ""new MutationObserver"": 2}","{""addEventListener"": 61}"
ppnfkghlfjlpipickophihdanpjllflo_2.2.zip,"[""activeTab"", ""http://*/"", ""https://*/"", ""storage""]",{},"{""fetch"": 3}","{""document.createElement"": 30, ""setTimeout"": 27, ""setInterval"": 4, ""document.getElementById"": 4, ""document.querySelector"": 1, ""element.style"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 25}"
ddelkelfhbedldjabljkimcgpgkaaelf_0.0.12.zip,"[""storage"", ""unlimitedStorage"", ""tabs"", ""scripting""]","{""localStorage.getItem"": 5, ""localStorage.setItem"": 4, ""file.name"": 1, ""new Blob"": 1}","{""fetch"": 15}","{""setTimeout"": 31, ""document.createElement"": 11, ""document.querySelector"": 7, ""document.getElementById"": 6, ""new MutationObserver"": 4, ""window.open"": 3, ""chrome.tabs.create"": 1}","{""addEventListener"": 17}"
efahcjebfahhclkbglhjakljkblpfncc_1.0.zip,[],{},{},"{""document.getElementById"": 12}","{""addEventListener"": 4}"
cgbfaenfmmdnfppeeopobnfncnnifbcf_0.1.zip,"[""activeTab""]","{""localStorage.setItem"": 3, ""localStorage.getItem"": 3}",{},"{""document.getElementById"": 27, ""document.createElement"": 16, ""document.querySelector"": 14, ""setTimeout"": 3, ""chrome.tabs.create"": 2, ""element.innerHTML"": 2, ""window.open"": 1}","{""addEventListener"": 16}"
eoggknlipoebpkcceagjininomfdlced_1.2.zip,"[""activeTab""]","{""localStorage.getItem"": 2, ""localStorage.setItem"": 1}",{},"{""document.getElementById"": 5}",{}
jhlofcbpianlpdpajgfphjnjahchjcei_1.1.4.zip,"[""storage"", ""tabs""]",{},"{""new XMLHttpRequest"": 5, ""fetch"": 1}","{""document.getElementById"": 21, ""setTimeout"": 8, ""setInterval"": 1}","{""addEventListener"": 8, ""chrome.tabs.onActivated.addListener"": 1}"
oaombkocglpaedcanbpjobpmgmpkoilk_1.15.1.zip,"[""management"", ""storage"", ""tabs""]",{},{},"{""document.querySelector"": 55, ""document.getElementById"": 35, ""chrome.tabs.create"": 24, ""document.createElement"": 19, ""setTimeout"": 6, ""new MutationObserver"": 2, ""element.innerHTML"": 1}","{""addEventListener"": 39}"
jpfkmcgbpeggknjpmfdfngdclggellfo_0.0.1.zip,"[""sidePanel"", ""declarativeNetRequest"", ""declarativeNetRequestWithHostAccess""]",{},{},"{""setTimeout"": 30, ""document.createElement"": 25, ""document.querySelector"": 5, ""document.getElementById"": 5}","{""addEventListener"": 25}"
bobniobnjmejcnhadlchpdgepmohoogm_0.2.0.zip,[],"{""navigator.clipboard.writeText"": 1}","{""fetch"": 3}","{""setTimeout"": 13, ""document.createElement"": 8, ""document.querySelector"": 4, ""document.getElementById"": 3, ""setInterval"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 14}"
cmlaaklemijcfoineeeklhgnogefgaja_1.0.3.zip,"[""webRequest"", ""webRequestBlocking"", ""cookies"", ""tabs"", ""storage"", ""http://*/"", ""https://*/""]",{},"{""fetch"": 5, ""chrome.webRequest.onBeforeRequest.addListener"": 1}","{""document.getElementById"": 11, ""document.createElement"": 2}","{""addEventListener"": 4}"
impijdijbdlcohhipigbbcfjhhlajmgl_2.7.zip,"[""tabs"", ""storage"", ""unlimitedStorage""]","{""new Blob"": 1}",{},"{""document.querySelector"": 40, ""document.getElementById"": 20, ""document.createElement"": 5, ""setInterval"": 4, ""window.open"": 3, ""setTimeout"": 3, ""new MutationObserver"": 1}","{""addEventListener"": 48, ""chrome.tabs.onActivated.addListener"": 1}"
megmcfngkjacejcdnghdielememckena_1.2.zip,[],{},"{""fetch"": 5}","{""document.createElement"": 4, ""document.getElementById"": 3}","{""addEventListener"": 3}"
ommgjjglofcihoogjiibfgoeedcnkeib_1.0.1.zip,"[""activeTab"", ""storage"", ""background""]",{},"{""fetch"": 2}","{""setTimeout"": 18, ""document.createElement"": 6, ""document.querySelector"": 5, ""element.style"": 5, ""document.getElementById"": 1, ""setInterval"": 1}","{""addEventListener"": 24}"
codhnbkepahobfjeikfaboednhedbmhe_1.0.zip,"[""clipboardWrite"", ""storage"", ""activeTab""]","{""new Blob"": 1, ""navigator.clipboard.writeText"": 1}",{},"{""document.getElementById"": 7, ""document.createElement"": 3, ""document.querySelector"": 2}","{""addEventListener"": 6}"
poofklmhpnilnhkfbjgklmjhnfjnaipj_1.12.zip,"[""tabs""]",{},"{""fetch"": 1}","{""document.querySelector"": 4, ""document.getElementById"": 1}","{""addEventListener"": 1}"
jdcikeehjpacoeddlgdhkcnkcmcchegc_2.4.0.zip,"[""webNavigation"", ""history"", ""storage"", ""chrome://favicon/*"", ""chrome://favicon/""]","{""localStorage.setItem"": 1, ""localStorage.getItem"": 1}","{""new XMLHttpRequest"": 4}","{""setTimeout"": 12, ""setInterval"": 5, ""document.getElementById"": 2}","{""addEventListener"": 15}"
npcmbnmcieikanejialknphclaomggij_0.0.0.1.zip,"[""storage""]","{""new Blob"": 1}","{""fetch"": 4}","{""setTimeout"": 14, ""document.createElement"": 6, ""document.querySelector"": 2, ""document.getElementById"": 1, ""new MutationObserver"": 1, ""setInterval"": 1, ""window.open"": 1}","{""addEventListener"": 11}"
coeojadhefmcmdnojhgihdhkbnnppghc_1.0.10.zip,"[""storage"", ""contextMenus"", ""activeTab"", ""tabs"", ""scripting""]","{""navigator.clipboard.writeText"": 1}","{""fetch"": 1}","{""document.getElementById"": 5, ""setTimeout"": 2, ""document.createElement"": 1, ""document.querySelector"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 3}"
ioeofgkpnkablpdeibafbhihapppjobj_14.0.0.zip,"[""tabs"", ""storage"", ""unlimitedStorage"", ""alarms"", ""activeTab"", ""cookies"", ""management"", ""proxy"", ""webRequest"", ""webRequestAuthProvider"", ""webNavigation"", ""declarativeNetRequest"", ""declarativeNetRequestFeedback"", ""scripting"", ""scripting""]","{""localStorage.setItem"": 1, ""localStorage.getItem"": 1}","{""fetch"": 29, ""chrome.proxy.settings.set"": 2}","{""setTimeout"": 9, ""setInterval"": 9, ""chrome.tabs.create"": 6, ""document.createElement"": 4, ""document.querySelector"": 3, ""document.getElementById"": 2}","{""addEventListener"": 4, ""chrome.alarms.create"": 1}"
nmlillmafhebmoggldibdnmhhfgnlimf_1.0.1.zip,"[""storage"", ""identity"", ""identity.email""]","{""sessionStorage.setItem"": 2, ""sessionStorage.getItem"": 2}","{""fetch"": 19, ""navigator.sendBeacon"": 5}","{""setTimeout"": 31, ""document.createElement"": 10, ""document.querySelector"": 8, ""chrome.tabs.create"": 3, ""new MutationObserver"": 3, ""setInterval"": 2, ""document.getElementById"": 1}","{""addEventListener"": 26}"
dgognhgbpdoeidccnbfhohblklhbbomh_0.2.4.zip,"[""storage""]","{""document.cookie"": 1}",{},"{""document.querySelector"": 2, ""setTimeout"": 1}","{""addEventListener"": 1}"
kbjdalabieeemafcgklldhclgigkfgec_1.0.zip,"[""cookies"", ""webNavigation"", ""storage""]","{""new Blob"": 2}","{""fetch"": 4}","{""document.querySelector"": 6, ""document.createElement"": 2, ""setTimeout"": 2, ""document.getElementById"": 1}","{""addEventListener"": 2}"
mebgbmlldlplbcoladkmcplcfoonmlbb_1.0.zip,"[""activeTab""]",{},{},{},{}
hhedjnckjdclgflodngblaiepkpedeab_1.0.7.zip,"[""contextMenus"", ""storage"", ""activeTab"", ""scripting""]","{""sessionStorage.setItem"": 2, ""sessionStorage.getItem"": 2, ""navigator.clipboard.writeText"": 2}","{""fetch"": 1}","{""document.getElementById"": 15, ""document.querySelector"": 4, ""setTimeout"": 2, ""chrome.tabs.create"": 1, ""window.open"": 1, ""document.createElement"": 1}","{""addEventListener"": 7, ""chrome.contextMenus.create"": 1}"
pdbjdedkadfmjlebgokdpaelkphllghf_1.0.zip,"[""sidePanel"", ""activeTab"", ""scripting""]",{},{},"{""document.getElementById"": 10, ""document.querySelector"": 6, ""chrome.tabs.create"": 1, ""document.createElement"": 1}","{""addEventListener"": 4}"
