Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/kbjdnohjeclabcmjobggdklfhikgelji_7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/gdnafniaoemlofmmfejfldbofjeoconl_1.2.1.zip,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/bdmiecmfhhmbmakpafaicedhfdlaeedl_1.0.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/feldjmkkfokjainkaddkjmageenifppc_1.0.zip,"webRequest, webRequestBlocking"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/lepamddghhbdnkaddghdbnpmhjdkkppk_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/famgnfdcgclbjpmjdkodhbbeokinjefb_3.4.0.1.zip,nativeMessaging
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/elnmgbcdmeallhmpgafkofodlbainoeo_1.0.11.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/nmheifgpcdedeemfkbccjikeecgfhaoh_1.1.zip,"history, bookmarks, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/aneeijmdeahjkiegfhgngfbkcopllngo_0.1.3.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/fggakgfimagekkeapmjkiifceoibkihe_1.4.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/hmpofbejkojlojbghjbejblmmnjcbjph_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/gdbhjhheenfddpijobeagmogehcpakma_1.0.0.zip,"tabs, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/alcgpfgkdjbabelklflpfkooadcfgoao_23.12.0.22.zip,"cookies, nativeMessaging"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/dknolpnjpjcckjlcnibkigdfgfljccff_1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hlogdcaphbmmgaibldaelbfddnnlcngb_0.0.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dhnagkedjknpmhmdoaggchdefbmbeabk_1.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/lnfkeeckaiefofihlmnbgcbkfoplhbol_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ejhdmakccdcnopligneamhkddjcpopff_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/kelndenfmkgmlcbkckfibgifpdmjhhij_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/animals/almgbogddmbcchanbclijiekfjggkmno_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/obolmphhkkpndomegkhpgigkcecbiigo_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/glonbijbhedkoodfghipiddoiafcpkel_1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kiikcmfglapfbilgdbccdpjkaoiogdko_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/pfhpglhakbmgnelhfhjgmkfiagbcdamg_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/cficgppodccgdnngonogbgnnibecabgo_1.0.zip,"bookmarks, tabs, management"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ppnjhnpamphipkobgebknecdjcgpjfkd_1.0.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/gjjchdfpfjbgddgklfkjbeeeoalagcpf_3.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/apiabgjfojnkcepfmbdechlhfocpeenc_0.6.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/pnaedlhkmadjdgjkenjmaepfaiiioocc_1.3.13.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/coboafinagolkojamfflnhgiahooogpo_1.0.26.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/omacmfialjnoognohplbhhbgpeillekn_0.0.2.zip,debugger
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ddembjalhjiblnlfifeldhohmigachhh_1.0.zip,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/other/ndlhnikhdbnelekgfejbipmaghimhgpk_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jloofjcmeejindbohbhiidlokgobjpkn_100.0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/aoanhalecjednnapacaopokmbehnohjd_2023.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/pnbagoiioggnkkbnlkedejhboodhchlb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/lehfdkbjieiagnjphoijdnmoknhegigg_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/fglnhddfjcgjbhcibfnfimnacigmpmkp_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/hojiamopbpplgjbajamgnodnlhegcmfl_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/eggdbehenjijmhlbiedecgkehgeilemo_1.0.1.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jpohldhhhjpclbldblabdhkgnjkicflm_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/gdlgapfeojaalkehffdggdaphpfoigea_3.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/opjjnkenncfhccclamihhkgagcimhkgb_1.1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/llcileepjmpofapeelmmlhjhippjdhfd_0.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/onoeeppkmkcbllpbdncfljakncmddnii_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/pippmdjiglnifkfncaofjemljalmnjif_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/chpddmjeoblobcepckjmpkfeijknnldn_0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hbhmnegpijmdbjpacncnjegdkieeffag_1.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jinnlfmfkikoijdnplkbjfhgpcgmoone_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/pemkehkbedjlbifdfnbibigfmfompogo_2.0.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/games/fiooopiolbgammaglagjbgnoikcblmkk_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lnpjjeoabgjlmogohnopljcjoignaofa_0.2.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mhhilmcffdhieahnjifidhjcgpdooejb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/aencebkkkifdfpohaabddabehgolegom_0.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/eggaiijmdfebpjlldggopkgbkbmlgolc_1.4.1.zip,tabs
