Extension Path,Extension ID,Extension Name,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/efefmblkhfibknkkhllennfdkfnnmjek_0.0.0.2.zip,efefmblkhfibknkkhllennfdkfnnmjek,Translate Preprocessing,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hgdmohbmgiomicklkoajaoeokefefcdh_1.2.2.zip,hgdmohbmgiomicklkoajaoeokefefcdh,Corion Key Hider extension,"webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/eicdhpjniopddhnmecdjbalndbfiebho_2.0.9.zip,eicdhpjniopddhnmecdjbalndbfiebho,C_NG C_ NH_P H_NG B2B,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mekdnhknkdfiifogdijpnlakjhlodcek_5.1.0.zip,mekdnhknkdfiifogdijpnlakjhlodcek,Schwifty Bookmarks 2,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/entertainment/biajbiiinplkgfejipbagnfmbianbfkd_1.0.1.zip,biajbiiinplkgfejipbagnfmbianbfkd,Sound Booster,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/cghddeepbicpheabhfdbkhpgcphdkblk_1.0.zip,cghddeepbicpheabhfdbkhpgcphdkblk,Medical Tests Mentor,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hdacefdjjccgpfcindjjkjpfhgpoeimk_1.1.zip,hdacefdjjccgpfcindjjkjpfhgpoeimk,Cheat,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hidnoblbdkccppkplbeenibfihfilkik_4.0.zip,hidnoblbdkccppkplbeenibfihfilkik,Bookmark digger,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/eacdlhdafbpmjohojacamlbhiogcpcbd_1.6.9.zip,eacdlhdafbpmjohojacamlbhiogcpcbd,Empower Recorder,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fdoabojpkjopijhpfhapkddbafljjfff_1.0.2.zip,fdoabojpkjopijhpfhapkddbafljjfff,T.L.D.R,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/oponnjpnbhdmohlkonljdfhbeibljfoa_1.1.21.zip,oponnjpnbhdmohlkonljdfhbeibljfoa,YellowHeart - Wallet,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mokfonabcmhhnohneodilbggkkckipkl_1.0.zip,mokfonabcmhhnohneodilbggkkckipkl,Daily Planner,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/accllpimnoffllpeblphooameaofhnah_0.1.16.zip,accllpimnoffllpeblphooameaofhnah,_ô¸«ê_«Ù«¤«Ä «Ý«¤«ó«È«¢«·«¹«È,"cookies, webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mfhmcnemllapebbjmgjidncbimcnhkie_1.0.zip,mfhmcnemllapebbjmgjidncbimcnhkie,CourtListener Multiple PDF Downloader,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/jceplpdpflofccjjkokfjgflahapgekl_1.0.9.zip,jceplpdpflofccjjkokfjgflahapgekl,Caldera + Lab,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/hjimmklopenmealinniilgohbmglfooi_1.3.10.zip,hjimmklopenmealinniilgohbmglfooi,Shop Mail ¡ª The Only Coupon Extension that Supports Creators,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/epndoneeciikmcedfghlglccfnfcfglh_1.1.1.zip,epndoneeciikmcedfghlglccfnfcfglh,ConversionTracking.com Debugger,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/nmemhfgjhnfmckacjippmiconfgoaamj_0.0.0.4.zip,nmemhfgjhnfmckacjippmiconfgoaamj,Z Downloads Log,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/bcocdbombenodlegijagbhdjbifpiijp_28.1.3.zip,bcocdbombenodlegijagbhdjbifpiijp,INSSIST | Web Client for Instagram,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/ppidlhfhfjafihcnbahjonnoijhiembh_1.1.0.zip,ppidlhfhfjafihcnbahjonnoijhiembh,Better Image Preview,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/mjallbknancbdmflofgcplnglpfimhnj_2.1.zip,mjallbknancbdmflofgcplnglpfimhnj,Paaper,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/fkghopacecghkmmhjhdhkcjlklbllmhc_1.2.zip,fkghopacecghkmmhjhdhkcjlklbllmhc,ChromeCiter,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/igpmccnfdgkfbgdmnamhlphegclidlbk_1.0.2.zip,igpmccnfdgkfbgdmnamhlphegclidlbk,Azione: FREE Screen Recorder,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kdchfpnbblcmofemnhnckhjfjndcibej_1.0.1.zip,kdchfpnbblcmofemnhnckhjfjndcibej,Tonalis Audio Recorder,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kmbofkenjncfapkighkijhmeelkgnldo_1.2.5.zip,kmbofkenjncfapkighkijhmeelkgnldo,Pinboard++ for Pinboard,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/mlhofhddnebfkjoialgecpehddcpmipf_1.3.zip,mlhofhddnebfkjoialgecpehddcpmipf,Locker,tabs
