ZIP File,Permissions (manifest),Over Permissions,WASM Exist,Clipboard,Downloads,Storage,Tabs,Scripting,Identity,WebRequest,Bookmarks,History,Alarms,Notifications,Context Menus,File System,Network,Rendering,User Interaction,Unknown
emcnedanfejbplonenbeoplhlgifdfpj_1.0.zip,"[""clipboardWrite"", ""activeTab"", ""contextMenus"", ""storage""]","[""activeTab""]",X,"{""navigator.clipboard.writeText"": 1}",{},"{""chrome.storage.local.set"": 1}","{""chrome.tabs.query"": 1}",{},{},{},{},{},{},{},"{""chrome.contextMenus.create"": 1, ""chrome.contextMenus.onClicked.addListener"": 1}",{},{},"{""document.createElement"": 4, ""setTimeout"": 2}","{""addEventListener"": 4}",{}
fdhbandaekkdmkfikibanmebnkabdlcg_1.0.7.zip,"[""tabs"", ""storage""]",[],X,{},{},"{""chrome.storage.local.get"": 9, ""chrome.storage.local.set"": 8}","{""chrome.tabs.query"": 2, ""chrome.tabs.get"": 2, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.onActivated.addListener"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 1}","{""fetch"": 5}","{""setTimeout"": 10, ""document.createElement"": 5, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 22}",{}
hidnoblbdkccppkplbeenibfihfilkik_4.0.zip,"[""bookmarks""]",[],X,{},{},{},{},{},{},{},"{""chrome.bookmarks.get"": 1}",{},{},{},{},{},{},"{""setTimeout"": 8, ""window.open"": 1}","{""addEventListener"": 8}",{}
imknfkidkilkomeomcidnnjojiilaofb_1.0.0.zip,"[""tabs"", ""bookmarks"", ""storage""]",[],X,{},{},"{""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1}","{""chrome.tabs.create"": 1, ""chrome.tabs.query"": 1, ""chrome.tabs.update"": 1}",{},{},{},"{""chrome.bookmarks.get"": 2, ""chrome.bookmarks.remove"": 1}",{},{},{},{},"{""document.querySelector"": 1}",{},"{""setTimeout"": 16, ""document.createElement"": 6, ""document.getElementById"": 1, ""element.style"": 1, ""window.open"": 1}","{""addEventListener"": 20}",{}
mhbadkjcgoaikhkjnickfgoeldpbhcdg_1.2.zip,"[""tabs"", ""activeTab"", ""sidePanel""]","[""activeTab""]",X,{},{},{},"{""chrome.tabs.update"": 2, ""chrome.tabs.onUpdated.addListener"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 1}","{""fetch"": 1}","{""document.createElement"": 3, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 2}",{}
iihkgfdilhicabfpjpcoiigmmmpccgoo_1.3.zip,"[""https://www.latimer.ai/"", ""clipboardWrite"", ""storage"", ""https://stripe.com/""]",[],X,"{""navigator.clipboard.writeText"": 2}",{},"{""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1}","{""chrome.tabs.create"": 3}",{},{},{},{},{},{},{},{},"{""document.cookie"": 2, ""new Blob"": 1, ""document.querySelector"": 1}","{""fetch"": 17, ""new XMLHttpRequest"": 1}","{""document.getElementById"": 65, ""setTimeout"": 19, ""document.createElement"": 4}","{""addEventListener"": 38}",{}
gdnafniaoemlofmmfejfldbofjeoconl_1.2.1.zip,"[""*://*/*"", ""tabs"", ""cookies"", ""storage""]",[],X,{},{},"{""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1}","{""chrome.tabs.create"": 1, ""chrome.tabs.query"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 5}","{""fetch"": 1}",{},"{""addEventListener"": 2}",{}
mjallbknancbdmflofgcplnglpfimhnj_2.1.zip,"[""*://*/*"", ""tabs"", ""storage""]",[],X,{},{},"{""chrome.storage.sync.get"": 1, ""chrome.storage.sync.set"": 1, ""sessionStorage.getItem"": 1}","{""chrome.tabs.executeScript"": 4, ""chrome.tabs.onUpdated.addListener"": 1}",{},{},{},{},{},{},{},{},"{""sessionStorage.setItem"": 1}",{},"{""document.getElementById"": 3, ""document.createElement"": 1, ""setTimeout"": 1}","{""addEventListener"": 2}",{}
eapedfijdadehfmghgfdnanjlpfpognl_0.0.5.21.zip,"[""tabs"", ""storage""]",[],X,{},{},{},"{""chrome.tabs.query"": 1, ""chrome.tabs.onActivated.addListener"": 1}",{},{},{},{},{},{},{},{},{},{},"{""setTimeout"": 1}",{},{}
cghddeepbicpheabhfdbkhpgcphdkblk_1.0.zip,"[""clipboardWrite"", ""activeTab"", ""scripting"", ""storage"", ""sidePanel""]",[],X,"{""navigator.clipboard.writeText"": 2}",{},"{""localStorage.setItem"": 4, ""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1}",{},"{""chrome.scripting.executeScript"": 1}",{},{},{},{},{},{},{},"{""document.querySelector"": 17, ""localStorage.getItem"": 7}","{""fetch"": 1}","{""document.createElement"": 21, ""document.getElementById"": 11, ""setTimeout"": 3, ""element.style"": 1}","{""addEventListener"": 19}",{}
fdoabojpkjopijhpfhapkddbafljjfff_1.0.2.zip,"[""tabs"", ""https://api.openai.com/*"", ""*://*/*"", ""activeTab"", ""scripting"", ""contextMenus"", ""storage""]",[],X,"{""navigator.clipboard.writeText"": 1}",{},"{""chrome.storage.sync.get"": 4, ""localStorage.setItem"": 4, ""chrome.storage.local.set"": 3, ""chrome.storage.sync.set"": 2, ""chrome.storage.local.get"": 1}","{""chrome.tabs.query"": 4, ""chrome.tabs.create"": 2}","{""chrome.scripting.executeScript"": 3}",{},{},{},{},{},{},"{""chrome.contextMenus.create"": 1, ""chrome.contextMenus.remove"": 1, ""chrome.contextMenus.onClicked.addListener"": 1}","{""localStorage.getItem"": 6, ""new Blob"": 2, ""document.cookie"": 2, ""document.querySelector"": 1}","{""fetch"": 9, ""new XMLHttpRequest"": 1}","{""setTimeout"": 12, ""document.createElement"": 9, ""document.getElementById"": 1}","{""addEventListener"": 13}",{}
