Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/colors/chiikhdlhoehhiflegehceeoipamoeep_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/lhnbkikhapjkecbcgbdkepionnaekhch_1.0.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/gjhgbebipngfiifihcdhcgpepkmhpopc_3.4.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/kamlllppdikcapfoojmlhaboonpofnlo_0.2.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/apmbooikceggljefmgpoffeomlhfcckn_0.9.5.7.zip,nativeMessaging
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/fdafjnjpghonaeicgebhdpgnoibhheom_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/art/menpldapcehjkdhbpccofndigklckijd_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/lmclpnpnhcogiikccjjfieejflphfkji_4.11.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kkhbaokdpnffgljiefglohfiohpbddfg_1.12.zip,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/aeiiagpokicaeifancpnndjanamdmmdn_2.2.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/kkkjihdklpcgclbghgdemadjiobnechi_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/foieejideloffcogfliehljobfocglfc_1.0.17.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hjbbfikgfdpfaabifikbadhgmofabpam_2.2.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lmedmffgcbjfnmcomngdiijjcapegfmn_1.0.4.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/nature/hlojdfmbjaeipcbebcohnejbhmdccinc_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ppncfaedcgdfijjdmdglmadjiglfgkha_2.10.20.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/jggcinndobcmjfgmifgohohpiiogokkp_1.1.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/bkobecgjokfmldjllfgiipeokoeidclp_1.0.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kfpanliodaeamaphgcpilkmddeidbldo_0.1.5.zip,None
