ZIP File,Permissions,File System,Network,Rendering,User Interaction
kodicebjdcbbbnpmcdpmepdpdagipcej_3.8.2.zip,"[""activeTab"", ""storage"", ""alarms"", ""management"", ""system.cpu"", ""system.memory""]","{""localStorage.setItem"": 66, ""localStorage.getItem"": 66, ""document.cookie"": 3, ""sessionStorage.getItem"": 2, ""indexedDB.open"": 1, ""sessionStorage.setItem"": 1}","{""fetch"": 98, ""new XMLHttpRequest"": 5, ""navigator.sendBeacon"": 2}","{""document.querySelector"": 1224, ""setTimeout"": 601, ""new MutationObserver"": 126, ""document.createElement"": 42, ""window.open"": 11, ""document.getElementById"": 10, ""setInterval"": 6, ""chrome.tabs.create"": 2, ""chrome.notifications.create"": 2}","{""addEventListener"": 270, ""chrome.alarms.create"": 4, ""chrome.permissions.request"": 2, ""chrome.notifications.onClicked.addListener"": 1, ""chrome.tabs.onActivated.addListener"": 1}"
algadbfmljcppohmcckpdemkjklapibd_1.0.12.zip,"[""tabs"", ""storage"", ""cookies""]","{""navigator.clipboard.readText"": 1}","{""fetch"": 5}","{""setTimeout"": 32, ""document.createElement"": 10, ""document.querySelector"": 7, ""setInterval"": 3, ""new MutationObserver"": 3, ""chrome.tabs.create"": 2, ""window.open"": 1, ""document.getElementById"": 1}","{""addEventListener"": 39}"
eebboijklmmpafocheanhppiaoijkoag_1.1.zip,"[""storage"", ""contextMenus""]",{},"{""fetch"": 27}","{""document.getElementById"": 47, ""document.querySelector"": 5, ""document.createElement"": 1}","{""addEventListener"": 6, ""chrome.contextMenus.create"": 1}"
dcjichoefijpinlfnjghokpkojhlhkgl_1.1.9.zip,"[""notifications"", ""contextMenus"", ""webRequest"", ""storage"", ""alarms"", ""idle"", ""offscreen"", ""cookies""]","{""file.type"": 4, ""localStorage.setItem"": 3, ""localStorage.getItem"": 3}","{""fetch"": 9}","{""document.getElementById"": 10, ""document.createElement"": 8, ""document.querySelector"": 5, ""setTimeout"": 5, ""chrome.tabs.create"": 4, ""chrome.notifications.create"": 3, ""chrome.windows.create"": 1}","{""addEventListener"": 17, ""chrome.contextMenus.create"": 8, ""chrome.alarms.create"": 3, ""chrome.notifications.onClicked.addListener"": 1, ""window.alert"": 1}"
fmooeijgcmmpfjjebijegjjhihkilfan_1.0.zip,[],{},{},"{""document.createElement"": 1}","{""addEventListener"": 1}"
maobhkdlpgadkhlkgepacjjhngmhedlm_2.0.2.zip,"[""storage"", ""tabCapture"", ""tabs"", ""sidePanel"", ""activeTab""]","{""localStorage.setItem"": 3, ""localStorage.getItem"": 2}","{""fetch"": 29, ""new WebSocket"": 1}","{""setTimeout"": 18, ""document.getElementById"": 17, ""document.createElement"": 10, ""document.querySelector"": 8, ""setInterval"": 6, ""chrome.tabs.create"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 18, ""window.confirm"": 1}"
ncbcooggibgjfoioemnbhpfkfindkmng_1.0.zip,"[""tabs"", ""storage""]",{},"{""fetch"": 3}","{""document.getElementById"": 4, ""document.createElement"": 1, ""setTimeout"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 3}"
jepepbifahlaifnacnnijkoclhncnkak_0.17.22.zip,"[""storage"", ""management"", ""notifications"", ""contextMenus"", ""scripting""]","{""new Blob"": 3}","{""fetch"": 4, ""new XMLHttpRequest"": 2}","{""setTimeout"": 51, ""document.createElement"": 16, ""setInterval"": 10, ""window.open"": 7, ""chrome.tabs.create"": 4, ""chrome.notifications.create"": 4, ""document.getElementById"": 2, ""new MutationObserver"": 1, ""chrome.tabs.executeScript"": 1}","{""addEventListener"": 21, ""chrome.contextMenus.create"": 3, ""chrome.tabs.onActivated.addListener"": 1}"
fgphhmablgbfdgkkjaimoengbpilnofp_1.1.zip,"[""activeTab"", ""downloads""]","{""new Blob"": 1}",{},"{""document.querySelector"": 4, ""document.getElementById"": 3, ""setInterval"": 2}","{""addEventListener"": 1}"
lnhnbcofbaepmdfbjdplbhkpmbgnnndi_1.1.zip,"[""contextMenus""]",{},{},"{""chrome.tabs.create"": 1}","{""chrome.contextMenus.create"": 1}"
